Time,Direction,Movement,Volume
22:00,Eastbound,U-Turn,18
06:00,Westbound,Right,17
07:00,Westbound,Right,20
08:00,Westbound,Right,19
09:00,Westbound,Right,27
10:00,Westbound,Right,10
11:00,Westbound,Right,23
12:00,Westbound,Right,21
13:00,Westbound,Right,17
14:00,Westbound,Right,22
15:00,Westbound,Right,22
16:00,Westbound,Right,17
17:00,Westbound,Right,20
18:00,Westbound,Right,19
19:00,Westbound,Right,20
20:00,Westbound,Right,11
21:00,Westbound,Right,20
22:00,Westbound,Right,19
06:00,Westbound,Thru,20
07:00,Westbound,Thru,22
08:00,Westbound,Thru,17
09:00,Westbound,Thru,23
10:00,Westbound,Thru,18
11:00,Westbound,Thru,22
12:00,Westbound,Thru,20
13:00,Westbound,Thru,23
14:00,Westbound,Thru,27
15:00,Westbound,Thru,20
16:00,Westbound,Thru,20
17:00,Westbound,Thru,18
18:00,Westbound,Thru,12
19:00,Westbound,Thru,13
20:00,Westbound,Thru,19
21:00,Westbound,Thru,21
22:00,Westbound,Thru,22
06:00,Westbound,Left,20
07:00,Westbound,Left,21
08:00,Westbound,Left,19
09:00,Westbound,Left,21
10:00,Westbound,Left,20
11:00,Westbound,Left,25
12:00,Westbound,Left,16
13:00,Westbound,Left,18
14:00,Westbound,Left,14
15:00,Westbound,Left,27
16:00,Westbound,Left,22
17:00,Westbound,Left,28
18:00,Westbound,Left,21
19:00,Westbound,Left,20
20:00,Westbound,Left,17
21:00,Westbound,Left,7
22:00,Westbound,Left,22
06:00,Westbound,U-Turn,33
07:00,Westbound,U-Turn,21
08:00,Westbound,U-Turn,20
09:00,Westbound,U-Turn,14
10:00,Westbound,U-Turn,20
11:00,Westbound,U-Turn,15
12:00,Westbound,U-Turn,20
13:00,Westbound,U-Turn,12
14:00,Westbound,U-Turn,16
15:00,Westbound,U-Turn,24
16:00,Westbound,U-Turn,24
17:00,Westbound,U-Turn,12
18:00,Westbound,U-Turn,25
19:00,Westbound,U-Turn,17
20:00,Westbound,U-Turn,22
21:00,Westbound,U-Turn,22
22:00,Westbound,U-Turn,19
